,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
7013,TR,Turkiye,People using at least basic drinking water services (% of population),2022,97.0261882445268,Europe & Central Asia,Upper middle income,IBRD,32.3606,39.7153
7014,TR,Turkiye,People using at least basic drinking water services (% of population),2021,97.0202954288979,Europe & Central Asia,Upper middle income,IBRD,32.3606,39.7153
7015,TR,Turkiye,People using at least basic drinking water services (% of population),2020,97.0142665969339,Europe & Central Asia,Upper middle income,IBRD,32.3606,39.7153
7016,TR,Turkiye,People using at least basic drinking water services (% of population),2019,96.8689641597761,Europe & Central Asia,Upper middle income,IBRD,32.3606,39.7153
7017,TR,Turkiye,People using at least basic drinking water services (% of population),2018,96.7206079118707,Europe & Central Asia,Upper middle income,IBRD,32.3606,39.7153
7018,TR,Turkiye,People using at least basic drinking water services (% of population),2017,96.5690873517749,Europe & Central Asia,Upper middle income,IBRD,32.3606,39.7153
7019,TR,Turkiye,People using at least basic drinking water services (% of population),2016,96.4143254328321,Europe & Central Asia,Upper middle income,IBRD,32.3606,39.7153
7020,TM,Turkmenistan,People using at least basic drinking water services (% of population),2024,,Europe & Central Asia,Upper middle income,IBRD,58.3794,37.9509
7021,TM,Turkmenistan,People using at least basic drinking water services (% of population),2023,,Europe & Central Asia,Upper middle income,IBRD,58.3794,37.9509
7022,TM,Turkmenistan,People using at least basic drinking water services (% of population),2022,100.0,Europe & Central Asia,Upper middle income,IBRD,58.3794,37.9509
7023,TM,Turkmenistan,People using at least basic drinking water services (% of population),2021,99.9999996920262,Europe & Central Asia,Upper middle income,IBRD,58.3794,37.9509
7024,TM,Turkmenistan,People using at least basic drinking water services (% of population),2020,100.0,Europe & Central Asia,Upper middle income,IBRD,58.3794,37.9509
7025,TM,Turkmenistan,People using at least basic drinking water services (% of population),2019,99.79292325362,Europe & Central Asia,Upper middle income,IBRD,58.3794,37.9509
7026,TM,Turkmenistan,People using at least basic drinking water services (% of population),2018,99.3450813719179,Europe & Central Asia,Upper middle income,IBRD,58.3794,37.9509
7027,TM,Turkmenistan,People using at least basic drinking water services (% of population),2017,98.997581412548,Europe & Central Asia,Upper middle income,IBRD,58.3794,37.9509
7028,TM,Turkmenistan,People using at least basic drinking water services (% of population),2016,98.3381304107743,Europe & Central Asia,Upper middle income,IBRD,58.3794,37.9509
7029,TC,Turks and Caicos Islands,People using at least basic drinking water services (% of population),2024,,Latin America & Caribbean ,High income,Not classified,-71.141389,21.4602778
7030,TC,Turks and Caicos Islands,People using at least basic drinking water services (% of population),2023,,Latin America & Caribbean ,High income,Not classified,-71.141389,21.4602778
7031,TC,Turks and Caicos Islands,People using at least basic drinking water services (% of population),2022,98.8035417706889,Latin America & Caribbean ,High income,Not classified,-71.141389,21.4602778
7032,TC,Turks and Caicos Islands,People using at least basic drinking water services (% of population),2021,98.787653792082,Latin America & Caribbean ,High income,Not classified,-71.141389,21.4602778
7033,TC,Turks and Caicos Islands,People using at least basic drinking water services (% of population),2020,98.7705697805465,Latin America & Caribbean ,High income,Not classified,-71.141389,21.4602778
7034,TC,Turks and Caicos Islands,People using at least basic drinking water services (% of population),2019,98.7522982439726,Latin America & Caribbean ,High income,Not classified,-71.141389,21.4602778
7035,TC,Turks and Caicos Islands,People using at least basic drinking water services (% of population),2018,98.7327536212092,Latin America & Caribbean ,High income,Not classified,-71.141389,21.4602778
7036,TC,Turks and Caicos Islands,People using at least basic drinking water services (% of population),2017,98.7117886619428,Latin America & Caribbean ,High income,Not classified,-71.141389,21.4602778
7037,TC,Turks and Caicos Islands,People using at least basic drinking water services (% of population),2016,98.689411704729,Latin America & Caribbean ,High income,Not classified,-71.141389,21.4602778
7038,TV,Tuvalu,People using at least basic drinking water services (% of population),2024,,East Asia & Pacific,Upper middle income,IDA,179.089567,-8.6314877
7039,TV,Tuvalu,People using at least basic drinking water services (% of population),2023,,East Asia & Pacific,Upper middle income,IDA,179.089567,-8.6314877
7040,TV,Tuvalu,People using at least basic drinking water services (% of population),2022,99.2561633864304,East Asia & Pacific,Upper middle income,IDA,179.089567,-8.6314877
7041,TV,Tuvalu,People using at least basic drinking water services (% of population),2021,99.2371947931855,East Asia & Pacific,Upper middle income,IDA,179.089567,-8.6314877
7042,TV,Tuvalu,People using at least basic drinking water services (% of population),2020,99.2182358260955,East Asia & Pacific,Upper middle income,IDA,179.089567,-8.6314877
7043,TV,Tuvalu,People using at least basic drinking water services (% of population),2019,99.1992660756145,East Asia & Pacific,Upper middle income,IDA,179.089567,-8.6314877
7044,TV,Tuvalu,People using at least basic drinking water services (% of population),2018,99.1802833315387,East Asia & Pacific,Upper middle income,IDA,179.089567,-8.6314877
7045,TV,Tuvalu,People using at least basic drinking water services (% of population),2017,99.1612788883457,East Asia & Pacific,Upper middle income,IDA,179.089567,-8.6314877
7046,TV,Tuvalu,People using at least basic drinking water services (% of population),2016,99.1422299170449,East Asia & Pacific,Upper middle income,IDA,179.089567,-8.6314877
7047,UG,Uganda,People using at least basic drinking water services (% of population),2024,,Sub-Saharan Africa ,Low income,IDA,32.5729,0.314269
7048,UG,Uganda,People using at least basic drinking water services (% of population),2023,,Sub-Saharan Africa ,Low income,IDA,32.5729,0.314269
7049,UG,Uganda,People using at least basic drinking water services (% of population),2022,59.2596090091018,Sub-Saharan Africa ,Low income,IDA,32.5729,0.314269
7050,UG,Uganda,People using at least basic drinking water services (% of population),2021,57.605574850406,Sub-Saharan Africa ,Low income,IDA,32.5729,0.314269
7051,UG,Uganda,People using at least basic drinking water services (% of population),2020,55.9611032232523,Sub-Saharan Africa ,Low income,IDA,32.5729,0.314269
7052,UG,Uganda,People using at least basic drinking water services (% of population),2019,54.3266872423468,Sub-Saharan Africa ,Low income,IDA,32.5729,0.314269
7053,UG,Uganda,People using at least basic drinking water services (% of population),2018,52.7030927273616,Sub-Saharan Africa ,Low income,IDA,32.5729,0.314269
7054,UG,Uganda,People using at least basic drinking water services (% of population),2017,51.0921165194054,Sub-Saharan Africa ,Low income,IDA,32.5729,0.314269
7055,UG,Uganda,People using at least basic drinking water services (% of population),2016,49.4935303861388,Sub-Saharan Africa ,Low income,IDA,32.5729,0.314269
7056,UA,Ukraine,People using at least basic drinking water services (% of population),2024,,Europe & Central Asia,Upper middle income,IBRD,30.5038,50.4536
7057,UA,Ukraine,People using at least basic drinking water services (% of population),2023,,Europe & Central Asia,Upper middle income,IBRD,30.5038,50.4536
7058,UA,Ukraine,People using at least basic drinking water services (% of population),2022,93.5897983790345,Europe & Central Asia,Upper middle income,IBRD,30.5038,50.4536
7059,UA,Ukraine,People using at least basic drinking water services (% of population),2021,93.5346392723758,Europe & Central Asia,Upper middle income,IBRD,30.5038,50.4536
7060,UA,Ukraine,People using at least basic drinking water services (% of population),2020,93.5449854553326,Europe & Central Asia,Upper middle income,IBRD,30.5038,50.4536
7061,UA,Ukraine,People using at least basic drinking water services (% of population),2019,93.5115778266462,Europe & Central Asia,Upper middle income,IBRD,30.5038,50.4536
7062,UA,Ukraine,People using at least basic drinking water services (% of population),2018,93.4763332243037,Europe & Central Asia,Upper middle income,IBRD,30.5038,50.4536
7063,UA,Ukraine,People using at least basic drinking water services (% of population),2017,93.4392882821302,Europe & Central Asia,Upper middle income,IBRD,30.5038,50.4536
7064,UA,Ukraine,People using at least basic drinking water services (% of population),2016,93.4006335847508,Europe & Central Asia,Upper middle income,IBRD,30.5038,50.4536
7065,AE,United Arab Emirates,People using at least basic drinking water services (% of population),2024,,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,54.3705,24.4764
7066,AE,United Arab Emirates,People using at least basic drinking water services (% of population),2023,,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,54.3705,24.4764
7067,AE,United Arab Emirates,People using at least basic drinking water services (% of population),2022,100.0,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,54.3705,24.4764
7068,AE,United Arab Emirates,People using at least basic drinking water services (% of population),2021,100.0,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,54.3705,24.4764
7069,AE,United Arab Emirates,People using at least basic drinking water services (% of population),2020,100.0,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,54.3705,24.4764
7070,AE,United Arab Emirates,People using at least basic drinking water services (% of population),2019,100.0,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,54.3705,24.4764
7071,AE,United Arab Emirates,People using at least basic drinking water services (% of population),2018,100.0,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,54.3705,24.4764
7072,AE,United Arab Emirates,People using at least basic drinking water services (% of population),2017,99.9757576983494,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,54.3705,24.4764
7073,AE,United Arab Emirates,People using at least basic drinking water services (% of population),2016,99.9516757226023,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,54.3705,24.4764
7074,GB,United Kingdom,People using at least basic drinking water services (% of population),2024,,Europe & Central Asia,High income,Not classified,-0.126236,51.5002
7075,GB,United Kingdom,People using at least basic drinking water services (% of population),2023,,Europe & Central Asia,High income,Not classified,-0.126236,51.5002
7076,GB,United Kingdom,People using at least basic drinking water services (% of population),2022,99.9999978822248,Europe & Central Asia,High income,Not classified,-0.126236,51.5002
7077,GB,United Kingdom,People using at least basic drinking water services (% of population),2021,99.9999986414263,Europe & Central Asia,High income,Not classified,-0.126236,51.5002
7078,GB,United Kingdom,People using at least basic drinking water services (% of population),2020,100.0,Europe & Central Asia,High income,Not classified,-0.126236,51.5002
7079,GB,United Kingdom,People using at least basic drinking water services (% of population),2019,99.999997344305,Europe & Central Asia,High income,Not classified,-0.126236,51.5002
7080,GB,United Kingdom,People using at least basic drinking water services (% of population),2018,100.0,Europe & Central Asia,High income,Not classified,-0.126236,51.5002
